Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,ROC_5,SMA_7,SMA_14,SMA_21,EMA_9,SD_7,SD_21,MACD,MACD_signal,MiddleBand_21,UpperBand_21,LowerBand_21,RSI_14
2023-08-28 00:33:00+00:00,26035.662109375,26035.662109375,26035.662109375,26035.662109375,132608,0.0,0.0,-0.0004969675457248757,26041.801897321428,26054.981305803572,26063.545479910714,26057.030865554163,5.486996839816252,18.231758440059345,-8.720700356003363,-6.713967256658139,26063.545479910714,26100.00899679083,26027.081963030596,19.740951078565345
2023-08-28 00:34:00+00:00,26037.14453125,26037.14453125,26037.14453125,26037.14453125,7857664,0.0,0.0,-0.00022521338461968824,26040.00753348214,26051.61258370536,26061.925130208332,26054.83285708057,4.422205458751566,19.01532580333897,-8.933000897457532,-7.211159606923272,26061.925130208332,26099.95578181501,26023.894478601655,22.50576755282809
2023-08-28 00:35:00+00:00,26032.07421875,26032.07421875,26032.07421875,26032.07421875,2560,0.0,0.0,-0.0002763254357563614,26037.645647321428,26048.459123883928,26060.018973214286,26053.01861109936,3.3482648574377913,19.9284063200497,-9.377501175458747,-7.6851427637815934,26060.018973214286,26099.875785854387,26020.162160574186,19.971613315721825
2023-08-28 00:36:00+00:00,26029.984375,26029.984375,26029.984375,26029.984375,0,0.0,0.0,-0.0003212659212467188,26035.78487723214,26045.45047433036,26057.766090029763,26050.875900012958,3.4868643140071884,20.5424695708668,-9.77523650985313,-8.134007245290574,26057.766090029763,26098.851029171496,26016.68115088803,19.020932370502464
2023-08-28 00:37:00+00:00,26031.455078125,26031.455078125,26031.455078125,26031.455078125,5627392,0.0,0.0,-0.0002517353499365148,26034.668526785714,26043.0341796875,26055.50948660714,26048.743512154568,3.4358408702805705,20.71343197044363,-9.862564578539605,-8.499830032343908,26055.50948660714,26096.93635054803,26014.082622666254,21.840605142728393
2023-08-28 00:38:00+00:00,26031.92578125,26031.92578125,26031.92578125,26031.92578125,9593856,0.0,0.0,-0.00014350808937770826,26033.750837053572,26040.768136160714,26052.799944196428,26046.98253442358,3.133347992395787,19.840540440513955,-9.781791208053619,-8.7680172667938,26052.799944196428,26092.481025077457,26013.118863315398,22.767504869152447
2023-08-28 00:39:00+00:00,26029.447265625,26029.447265625,26029.447265625,26029.447265625,1654272,0.0,0.0,-0.00029562633551316185,26032.52762276786,26038.672014508928,26049.904389880954,26045.45171820022,2.852358672859775,18.492458316447934,-9.795621094941453,-8.981032852035185,26049.904389880954,26086.88930651385,26012.919473248057,21.3329048727811
2023-08-28 00:40:00+00:00,26026.8671875,26026.8671875,26026.8671875,26026.8671875,11748864,0.0,0.0,-0.00020002367872205728,26031.27120535714,26036.536551339286,26047.077938988095,26043.827262046445,3.1617803042406614,17.151313645832012,-9.891801932597446,-9.16846233920113,26047.077938988095,26081.38056627976,26012.77531169643,19.925404820070682
2023-08-28 00:41:00+00:00,26029.693359375,26029.693359375,26029.693359375,26029.693359375,1393664,0.0,0.0,-1.1180015354888203e-05,26030.20675223214,26035.10714285714,26044.47730654762,26042.108388773628,1.8277192465981837,15.26035633169819,-9.636441096503404,-9.264214231596135,26044.47730654762,26074.998019211016,26013.95659388422,25.707605693600925
2023-08-28 00:42:00+00:00,26026.30859375,26026.30859375,26026.30859375,26026.30859375,0,0.0,0.0,-0.0001977025241022636,26029.38309151786,26033.51436941964,26042.100446428572,26040.851841806118,2.1214238700001626,13.894721407547516,-9.586969830033922,-9.329949533202981,26042.100446428572,26069.889889243666,26014.31100361348,23.517319075538964
