date,time,open,high,low,close,roc_5,sma_7,sma_14,sma_21,ema_9,sd_7,sd_21,macd,macd_signal,middleband_21,upperband_21,lowerband_21,rsi_14
2024-08-31 21:14:00,1725113640000,59098.01,59103.98,59086.92,59090.0,0.0008640052954835785,59058.85571428571,59030.85857142857,59015.24904761904,59039.67095841315,31.92740351546136,48.483650120923855,6.140332192335336,-3.443575938879009,59015.24904761904,59112.21634786089,58918.281747377194,56.61163072616699
2024-08-31 21:15:00,1725113700000,59090.01,59118.31,59090.0,59092.66,0.0006717695412206145,59070.80714285715,59041.119999999995,59017.184761904755,59044.84784652719,25.07799680618175,50.78173280020159,8.771244072166155,-0.7067471870763539,59017.184761904755,59118.74822750516,58915.62129630435,57.04426954908788
2024-08-31 21:16:00,1725113760000,59092.66,59092.67,59053.75,59053.75,0.00018207069423979133,59072.91571428572,59044.95928571428,59019.93428571428,59049.7518158526,22.438540399042207,51.13979678992611,7.802161879655614,1.1549534973621207,59019.93428571428,59122.213879294126,58917.65469213443,49.30026357534905
2024-08-31 21:17:00,1725113820000,59053.76,59053.76,59039.0,59039.0,-0.0006939742721733243,59070.91714285715,59049.74428571428,59021.259999999995,59050.16084913249,24.98736394948767,51.26167271949554,5.840139588275633,2.1611349805724918,59021.259999999995,59123.783345438984,58918.736654561006,46.711496876283306
2024-08-31 21:18:00,1725113880000,59039.0,59046.0,59028.0,59046.0,-0.0008800634742185402,59071.34571428572,59054.458571428564,59023.64047619047,59049.02166665708,24.448659034244383,51.19115494655904,4.768601672025397,2.712965523805399,59023.64047619047,59126.02278608359,58921.25816629735,48.10422509919938
2024-08-31 21:19:00,1725113940000,59045.99,59046.0,59036.02,59041.99,-0.0008124894229142332,59065.91571428572,59055.31285714286,59027.83095238095,59048.71388356438,26.35301554988891,48.74804672033919,3.569967914336303,2.892251063327443,59027.83095238095,59125.32704582163,58930.334858940274,47.34091584661602
2024-08-31 21:20:00,1725114000000,59041.99,59070.84,59041.99,59070.83,-0.00036941982303727305,59062.032857142854,59057.72928571429,59033.34714285714,59048.030268051414,22.566418793065946,46.6001928260969,4.7939197173691355,3.2864545979776474,59033.34714285714,59126.547528509334,58940.14675720495,53.10439839094008
2024-08-31 21:21:00,1725114060000,59070.84,59070.84,59056.01,59056.02,3.843955718302053e-05,59057.17857142857,59058.01714285714,59039.6319047619,59050.34444685223,18.905485472567772,39.47664089295614,4.562021813784668,3.5489568218748473,59039.6319047619,59118.58518654782,58960.67862297599,50.07354778967402
2024-08-31 21:22:00,1725114120000,59056.02,59058.0,59056.01,59057.99,0.000321651789495045,59052.225714285705,59061.51642857143,59044.821904761906,59050.91965402997,10.912648406279049,33.70854707921311,4.4795960100818775,3.739372438005512,59044.821904761906,59112.23899892033,58977.40481060348,50.47842592833682
2024-08-31 21:23:00,1725114180000,59057.99,59085.97,59057.99,59085.97,0.0006769298513023942,59056.82857142857,59064.87214285714,59048.915714285715,59051.63525618463,16.845200531707253,33.209592525585904,6.520410804179846,4.30578366887348,59048.915714285715,59115.334899336885,58982.496529234544,55.94320589857741
2024-08-31 21:24:00,1725114240000,59085.96,59085.97,59076.0,59076.0,0.0005760307198318017,59062.114285714284,59066.51571428571,59053.86761904762,59055.10613014826,16.107342898168795,28.602151825500027,7.2732057450703,4.907946160181553,59053.86761904762,59111.07192269862,58996.66331539662,53.670486074833896
2024-08-31 21:25:00,1725114300000,59076.01,59087.0,59069.0,59086.99,0.00027356988212280436,59067.969999999994,59069.657857142854,59058.96238095238,59057.21597788251,16.712192156261235,23.934535906281802,8.63067917344597,5.661176922269866,59058.96238095238,59106.83145276494,59011.09330913981,55.802000984873246
2024-08-31 21:26:00,1725114360000,59086.99,59091.1,59086.99,59091.09,0.0005938429308307555,59074.98428571428,59070.45,59061.87,59060.21959555992,14.088747113894478,23.952872687874816,9.913189776045328,6.519496090035625,59061.87,59109.77574537575,59013.964254624254,56.60414024994878
2024-08-31 21:27:00,1725114420000,59091.09,59091.1,59087.59,59087.59,0.0005012022928650051,59077.37857142857,59069.70571428571,59064.27904761904,59063.331077212584,14.676934771501859,23.87041053373858,10.531867404286459,7.3279355834595,59064.27904761904,59112.01986868652,59016.538226551565,55.6752209460105
2024-08-31 21:28:00,1725114480000,59087.6,59088.53,59087.59,59088.52,4.315745345292012e-05,59082.02142857143,59069.59999999999,59066.01857142857,59065.77424181112,11.615539058533402,24.257976272945527,10.968395919269824,8.06035106854444,59066.01857142857,59114.53452397446,59017.50261888268,55.882397820775786
2024-08-31 21:29:00,1725114540000,59088.52,59088.53,59088.52,59088.53,0.00021209966822396297,59086.38428571429,59069.305,59069.805714285714,59068.06338271351,4.849996072792743,20.884735710946433,11.185631175096205,8.688372838813223,59069.805714285714,59111.57518570761,59028.03624286382,55.88478554864083
2024-08-31 21:30:00,1725114600000,59088.52,59097.25,59082.0,59097.25,0.00017364228572147673,59087.99571428571,59072.412142857145,59072.579999999994,59070.121831980825,6.335744779118708,20.4516434547914,11.909749971033307,9.33509149927806,59072.579999999994,59113.48328690958,59031.67671309041,58.018480124575596
2024-08-31 21:31:00,1725114660000,59097.25,59130.0,59097.24,59130.0,0.0006584749071307281,59095.71,59078.912142857145,59076.24714285714,59072.848702460215,15.517417096113478,23.44810869623873,14.905467409109406,10.45254397411689,59076.24714285714,59123.14336024962,59029.350925464656,64.88737221822026
