date,time,open,high,low,close,roc_5,sma_7,sma_14,sma_21,ema_9,sd_7,sd_21,macd,macd_signal,middleband_21,upperband_21,lowerband_21,rsi_14
2024-08-28 21:14:00,1724854440000,59866.01,59901.0,59777.47,59790.0,0.0007697842846504271,59803.84285714286,59643.697857142855,59606.119047619046,59676.04250705434,75.83156482503328,188.85623764929886,49.04640123047284,19.79124133446396,59606.119047619046,59983.831522917644,59228.40657232045,57.543896930566994
2024-08-28 21:15:00,1724854500000,59790.0,59790.0,59720.0,59743.01,-0.0005646006909708723,59811.69857142858,59667.98428571429,59607.5957142857,59687.7642719069,63.71325592806889,189.8441644236533,46.58627542408067,25.794884420132362,59607.5957142857,59987.284043133004,59227.9073854384,53.918582789687804
2024-08-28 21:16:00,1724854560000,59743.0,59795.0,59731.1,59778.01,-0.0013882134828438453,59816.555714285714,59693.55642857143,59608.894285714276,59693.430683817896,58.79952971955748,190.96222997157082,46.75753046097816,30.38139159464997,59608.894285714276,59990.818745657416,59226.969825771135,56.135292851508474
2024-08-28 21:17:00,1724854620000,59778.0,59869.65,59766.05,59869.64,-0.0005235304919784408,59829.82428571429,59720.76571428572,59618.25809523809,59702.08355067793,58.802162334733964,198.91819310005522,53.27456004387204,35.2978840751294,59618.25809523809,60016.0944814382,59220.421709037975,61.37392570817763
2024-08-28 21:18:00,1724854680000,59869.65,59890.56,59823.61,59825.01,-0.0006846958206661204,59824.66714285714,59741.19500000001,59628.54476190476,59719.18595645767,57.16113823055084,203.9371567081154,54.37706146269193,39.33570087897477,59628.54476190476,60036.41907532099,59220.670448488534,57.75588965760643
2024-08-28 21:19:00,1724854740000,59825.01,59849.26,59780.01,59818.0,0.0004683057367452751,59812.81,59764.32642857143,59649.44952380952,59729.96505789406,46.25648999513587,199.53079791039977,54.08166012253787,42.42056655492057,59649.44952380952,60048.51111963032,59250.38792798872,57.18565722083208
2024-08-28 21:20:00,1724854800000,59818.01,59928.58,59801.1,59801.1,0.0009723313237815856,59803.53857142857,59785.905000000006,59671.69238095237,59738.91554782006,39.8836004011238,188.32825233895585,51.93864393392869,44.393602045569665,59671.69238095237,60048.34888563029,59295.03587627446,55.7564213702852
2024-08-28 21:21:00,1724854860000,59801.1,59801.11,59684.49,59694.01,-0.0014051990021079657,59789.82571428572,59796.83428571429,59692.40714285713,59745.227286102774,57.79435868009245,162.86843752374347,41.45812670974556,43.78950310487865,59692.40714285713,60018.14401790462,59366.67026780965,47.63247847715271
2024-08-28 21:22:00,1724854920000,59694.0,59694.01,59532.24,59630.0,-0.00400269652531733,59773.68142857143,59792.69,59703.21666666666,59740.03650560548,83.23581909826198,149.70086073009026,27.857653072285757,40.52972952291485,59703.21666666666,60002.61838812684,59403.81494520648,43.54811036180843
2024-08-28 21:23:00,1724854980000,59630.0,59640.0,59578.0,59620.01,-0.003426660522079311,59751.11,59783.83285714286,59712.74095238095,59728.89951728316,101.32381687774284,136.5675054287946,16.120099674910307,35.55824525451945,59712.74095238095,59985.87596323853,59439.60594152336,42.92941197801759
