Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,H-L,O-C,SMA_7,SMA_14,SMA_21,SD_7,SD_21
2023-08-26 00:20:00+00:00,26047.291015625,26047.291015625,26047.291015625,26047.291015625,444416,0.0,0.0,0.0,0.0,26045.333984375,26044.424246651786,26045.324032738095,2.5872508053460717,2.8886927996916865
2023-08-26 00:21:00+00:00,26047.103515625,26047.103515625,26047.103515625,26047.103515625,0,0.0,0.0,0.0,0.0,26045.792131696428,26044.57742745536,26045.317801339286,2.5741905587463467,2.884503927627983
2023-08-26 00:22:00+00:00,26048.1015625,26048.1015625,26048.1015625,26048.1015625,0,0.0,0.0,0.0,0.0,26046.529296875,26045.157784598214,26045.220052083332,2.3509462548301108,2.7437587543834363
2023-08-26 00:23:00+00:00,26050.068359375,26050.068359375,26050.068359375,26050.068359375,0,0.0,0.0,0.0,0.0,26047.614397321428,26045.896484375,26045.304873511905,1.8703038579039024,2.868034144144013
2023-08-26 00:24:00+00:00,26051.595703125,26051.595703125,26051.595703125,26051.595703125,0,0.0,0.0,0.0,0.0,26048.690848214286,26046.625558035714,26045.46949404762,1.637983331127119,3.1263990689084107
2023-08-26 00:25:00+00:00,26051.513671875,26051.513671875,26051.513671875,26051.513671875,0,0.0,0.0,0.0,0.0,26049.06082589286,26046.967354910714,26045.693452380954,1.9601788081938032,3.3850242366049716
2023-08-26 00:26:00+00:00,26058.54296875,26058.54296875,26058.54296875,26058.54296875,0,0.0,0.0,0.0,0.0,26050.602399553572,26047.839285714286,26046.394438244046,3.9710734388768434,4.361522142011423
2023-08-26 00:27:00+00:00,26065.982421875,26065.982421875,26065.982421875,26065.982421875,1025024,0.0,0.0,0.0,0.0,26053.272600446428,26049.303292410714,26047.373697916668,6.711762795890382,6.095306302080451
2023-08-26 00:28:00+00:00,26063.44140625,26063.44140625,26063.44140625,26063.44140625,3469312,0.0,0.0,0.0,0.0,26055.606584821428,26050.699358258928,26048.253813244046,7.041557373522292,6.996888326752032
2023-08-26 00:29:00+00:00,26061.623046875,26061.623046875,26061.623046875,26061.623046875,785408,0.0,0.0,0.0,0.0,26057.538225446428,26052.033761160714,26049.284598214286,6.471153793770049,7.3042439115463775
