date,timestamp,open,high,low,close
2023-08-24 09:00:00,1692842400000,26348.0,26363.66,26345.76,26363.66
2023-08-24 09:01:00,1692842460000,26363.66,26365.01,26363.65,26364.01
2023-08-24 09:02:00,1692842520000,26364.01,26377.65,26364.0,26375.72
2023-08-24 09:03:00,1692842580000,26375.71,26387.72,26375.71,26386.01
2023-08-24 09:04:00,1692842640000,26386.0,26386.01,26378.29,26378.29
2023-08-24 09:05:00,1692842700000,26378.29,26381.73,26378.28,26381.73
2023-08-24 09:06:00,1692842760000,26381.73,26386.2,26381.72,26384.0
2023-08-24 09:07:00,1692842820000,26384.0,26400.56,26384.0,26398.39
2023-08-24 09:08:00,1692842880000,26398.4,26398.4,26396.0,26396.0
2023-08-24 09:09:00,1692842940000,26396.01,26396.01,26390.68,26390.7
2023-08-24 09:10:00,1692843000000,26390.69,26390.7,26380.0,26380.01
2023-08-24 09:11:00,1692843060000,26380.01,26380.01,26374.58,26374.58
2023-08-24 09:12:00,1692843120000,26374.59,26378.0,26374.58,26378.0
2023-08-24 09:13:00,1692843180000,26378.0,26383.73,26377.99,26383.73
2023-08-24 09:14:00,1692843240000,26383.73,26387.69,26383.72,26387.69
2023-08-24 09:15:00,1692843300000,26387.68,26389.74,26384.0,26387.37
2023-08-24 09:16:00,1692843360000,26387.36,26396.0,26387.36,26396.0
2023-08-24 09:17:00,1692843420000,26395.99,26398.02,26394.01,26394.01
2023-08-24 09:18:00,1692843480000,26394.02,26394.02,26392.0,26393.99
2023-08-24 09:19:00,1692843540000,26393.99,26394.0,26393.21,26393.21
2023-08-24 09:20:00,1692843600000,26393.22,26393.22,26386.49,26386.5
2023-08-24 09:21:00,1692843660000,26386.5,26386.5,26386.49,26386.5
2023-08-24 09:22:00,1692843720000,26386.49,26386.5,26386.49,26386.5
2023-08-24 09:23:00,1692843780000,26386.49,26386.5,26384.01,26384.01
2023-08-24 09:24:00,1692843840000,26384.01,26384.02,26384.01,26384.01
2023-08-24 09:25:00,1692843900000,26384.02,26384.02,26379.27,26379.28
2023-08-24 09:26:00,1692843960000,26379.27,26394.0,26379.27,26393.99
2023-08-24 09:27:00,1692844020000,26393.99,26399.81,26393.56,26393.56
2023-08-24 09:28:00,1692844080000,26393.56,26397.2,26393.56,26397.19
2023-08-24 09:29:00,1692844140000,26397.2,26397.2,26397.19,26397.2
2023-08-24 09:30:00,1692844200000,26397.2,26405.0,26396.02,26396.03
2023-08-24 09:31:00,1692844260000,26396.03,26396.03,26396.02,26396.02
2023-08-24 09:32:00,1692844320000,26396.03,26408.82,26396.02,26408.82
2023-08-24 09:33:00,1692844380000,26408.81,26416.0,26408.81,26412.24
2023-08-24 09:34:00,1692844440000,26412.23,26412.24,26412.23,26412.24
2023-08-24 09:35:00,1692844500000,26412.23,26415.0,26412.23,26414.99
2023-08-24 09:36:00,1692844560000,26415.0,26417.54,26408.52,26408.53
2023-08-24 09:37:00,1692844620000,26408.52,26408.53,26402.03,26402.03
2023-08-24 09:38:00,1692844680000,26402.04,26404.0,26400.06,26403.99
2023-08-24 09:39:00,1692844740000,26403.99,26407.63,26403.99,26404.02
2023-08-24 09:40:00,1692844800000,26404.02,26405.37,26403.38,26403.38
2023-08-24 09:41:00,1692844860000,26403.39,26403.39,26400.02,26401.05
2023-08-24 09:42:00,1692844920000,26401.04,26401.29,26400.0,26400.01
2023-08-24 09:43:00,1692844980000,26400.01,26400.01,26399.29,26399.3
2023-08-24 09:44:00,1692845040000,26399.29,26399.3,26399.29,26399.3
2023-08-24 09:45:00,1692845100000,26399.29,26399.3,26392.85,26392.86
2023-08-24 09:46:00,1692845160000,26392.85,26392.86,26392.85,26392.86
2023-08-24 09:47:00,1692845220000,26392.86,26392.86,26390.02,26390.03
2023-08-24 09:48:00,1692845280000,26390.03,26390.03,26388.0,26388.01
2023-08-24 09:49:00,1692845340000,26388.01,26389.09,26388.0,26389.09
2023-08-24 09:50:00,1692845400000,26389.09,26389.09,26386.0,26386.01
2023-08-24 09:51:00,1692845460000,26386.0,26386.01,26386.0,26386.01
2023-08-24 09:52:00,1692845520000,26386.01,26386.01,26386.0,26386.01
2023-08-24 09:53:00,1692845580000,26386.01,26386.01,26384.99,26385.0
2023-08-24 09:54:00,1692845640000,26384.99,26390.0,26375.01,26380.52
2023-08-24 09:55:00,1692845700000,26380.52,26384.26,26372.54,26372.55
2023-08-24 09:56:00,1692845760000,26372.55,26375.0,26372.54,26374.99
2023-08-24 09:57:00,1692845820000,26375.0,26375.0,26373.08,26373.08
2023-08-24 09:58:00,1692845880000,26373.09,26376.0,26373.08,26376.0
2023-08-24 09:59:00,1692845940000,26376.0,26376.0,26374.49,26374.5
2023-08-24 10:00:00,1692846000000,26374.49,26378.38,26374.49,26376.79
2023-08-24 10:01:00,1692846060000,26376.79,26378.0,26376.78,26378.0
2023-08-24 10:02:00,1692846120000,26377.99,26378.0,26377.99,26377.99
2023-08-24 10:03:00,1692846180000,26378.0,26378.0,26377.99,26377.99
2023-08-24 10:04:00,1692846240000,26378.0,26378.0,26377.99,26378.0
2023-08-24 10:05:00,1692846300000,26377.99,26387.61,26377.99,26387.61
2023-08-24 10:06:00,1692846360000,26387.6,26387.61,26387.59,26387.6
2023-08-24 10:07:00,1692846420000,26387.6,26387.6,26387.59,26387.6
2023-08-24 10:08:00,1692846480000,26387.6,26387.6,26387.59,26387.6
2023-08-24 10:09:00,1692846540000,26387.59,26394.84,26387.59,26394.61
2023-08-24 10:10:00,1692846600000,26394.61,26403.72,26394.6,26403.72
2023-08-24 10:11:00,1692846660000,26403.71,26403.72,26398.12,26398.13
2023-08-24 10:12:00,1692846720000,26398.13,26407.99,26398.12,26407.99
2023-08-24 10:13:00,1692846780000,26407.99,26416.0,26407.98,26416.0
2023-08-24 10:14:00,1692846840000,26416.0,26416.0,26415.99,26416.0
2023-08-24 10:15:00,1692846900000,26416.0,26422.0,26412.72,26422.0
2023-08-24 10:16:00,1692846960000,26421.99,26431.6,26421.99,26431.43
2023-08-24 10:17:00,1692847020000,26431.43,26431.43,26428.0,26428.01
